Intercept,input1,input2,input3,input4,input5,input6,input7
8.673617379884035e-19,4.910880934243415e-09,3.044024654195142e-22,5.168023986633238e-06,7.003810948183293e-11,1.1786124031330765e-07,8.723301892494366e-08,1.1786124031330742e-07
-8.673617379884035e-19,5.3388775761314765e-09,8.470329472543003e-22,3.495108852854605e-10,7.614212138261962e-11,3.662978696481547e-09,2.711092205568431e-09,5.590154110925859e-06
-3.469446951953614e-18,3.202569261228903e-09,3.3881317890172014e-21,1.351709775565916e-06,1.92045327274843e-05,3.214013443059574e-08,2.378798108334869e-08,3.2140134430594365e-08
1.3234889800848443e-23,2.0313073756715096e-13,-1.25208002876679e-26,2.1376704876905518e-10,2.897014410972967e-15,4.875141750735049e-12,3.6082543461545833e-12,4.8751417507350925e-12
-1.6071211827648462e-40,4.574556339175297e-30,-2.2420775429197073e-44,2.994744144434978e-31,6.524150799074343e-32,1.0978944332748139e-28,8.125881385675619e-29,1.0978944332748127e-28
-3.7947076036992655e-19,5.3388775761318454e-09,1.5881867761018131e-22,3.495108852868905e-10,7.614212138205052e-11,6.705413213457576e-07,2.7110922055670015e-09,3.6629786964818777e-09
-4.336808689942018e-19,2.1708844461604783e-09,0.0,1.4211746454404347e-10,3.096076743596011e-11,1.4894335682763532e-09,6.02524343718925e-07,1.4894335682764723e-09
-1.6543612251060553e-24,5.7116775682305126e-12,-2.6253290925755273e-27,3.7391632508439583e-13,8.14589284903909e-14,3.918755010816227e-12,2.900400751867552e-12,3.918755010816226e-12
0.0,4.5208878635977406e-14,0.0,1.9081330709829887e-11,2.7109964485346697e-10,4.537042974863193e-13,3.358016211583838e-13,4.5370429748632255e-13
-1.2924697071141057e-26,1.1068070919984113e-14,-2.3665827156630354e-30,7.245738847713069e-16,1.5785085674520303e-16,7.593751198248082e-15,5.620387501668892e-15,7.593751198248078e-15
