Intercept,input1,input2,input3,input4,input5,input6,input7
6.776263578034403e-21,1.8634391946227498e-16,-1.6543612251060553e-24,1.167272805903821e-08,3.288236117760468e-17,3.5784895426899803e-09,2.8998860779438154e-09,3.578489542689983e-09
6.505213034913027e-19,7.958885250172997e-16,8.470329472543003e-22,7.635415548443217e-16,1.4044150372611122e-16,6.293414564034457e-16,5.099954670473804e-16,3.7233458171157505e-06
-6.776263578034403e-21,4.7242480120082615e-17,-5.790264287871194e-24,9.401597375248079e-10,2.0012530401166557e-08,2.8822328071336314e-10,2.335663326968089e-10,2.88223280713362e-10
1.3234889800848443e-22,2.2779429991396172e-18,-1.2924697071141057e-26,1.426921223235493e-10,4.019672304058068e-19,4.3744895364343266e-11,3.544937369100424e-11,4.3744895364343285e-11
2.204051907791789e-39,7.684753584105587e-35,0.0,7.37242284753708e-35,1.3560563752816905e-35,1.4757557040961808e-27,1.1959021731659794e-27,1.4757557040961805e-27
1.6263032587282567e-19,7.958885450372042e-16,0.0,7.635411710325175e-16,1.4044318124839347e-16,4.4446838488643366e-07,5.099964034158338e-16,6.293408873031843e-16
1.3552527156068805e-19,3.5433189028239306e-16,-6.617444900424221e-23,3.399308066155783e-16,6.252545340134723e-17,2.8018439055919485e-16,4.388790344770924e-07,2.8018437070686015e-16
6.617444900424222e-24,5.7443052227754664e-12,0.0,5.510839960274257e-12,1.0136436858492216e-12,4.542251266770403e-12,3.680885763083335e-12,4.542251266770405e-12
-1.0587911840678754e-22,5.871976592073795e-19,-4.52364397489937e-26,1.1685660925402086e-11,2.4874458583285493e-10,3.5824545497881454e-12,2.903099184687832e-12,3.5824545497880937e-12
4.81482486096809e-35,4.0153125394755826e-23,5.877471754111438e-39,3.852118565670665e-23,7.085445575233706e-24,3.175067786544211e-23,2.572966823260912e-23,3.17506778654421e-23
