Intercept,input1,input2,input3,input4,input5,input6,input7
-4.235164736271502e-22,4.3914511592547355e-11,3.618915179919496e-25,7.134619924510456e-10,8.8098157781433e-13,6.282069012606127e-10,6.034116950189176e-10,6.282069012606124e-10
0.0,1.7926003995864872e-11,-4.1359030627651384e-25,1.2172919675479417e-11,3.596186934899873e-13,1.2201381006786613e-11,1.171979483209149e-11,6.550311644189196e-09
0.0,4.932186481022713e-12,-1.2924697071141057e-26,6.942927945072947e-11,2.0202954106144762e-10,6.11897076744859e-11,5.877456161573783e-11,6.118970767448589e-11
-4.235164736271502e-22,6.384812444554532e-11,0.0,1.0373156487276452e-09,1.2808754868188502e-12,9.133616873936693e-10,8.773114762821027e-10,9.133616873936685e-10
-2.938735877055719e-39,3.0921952930098713e-28,2.8698592549372254e-42,2.099801212326885e-28,6.2033414225841676e-30,4.423454463385273e-27,4.2488615617468365e-27,4.4234544633852695e-27
1.5881867761018131e-22,1.792600399586415e-11,1.550963648536927e-25,1.2172919675475297e-11,3.5961869349061414e-13,7.926777181506955e-10,1.1719794832091245e-11,1.2201381006788778e-11
-1.0587911840678754e-22,9.459569191470793e-12,-1.809457589959748e-25,6.423661177300806e-12,1.897711232461325e-13,6.438680248640905e-12,9.196529636862983e-10,6.438680248640643e-12
1.6543612251060553e-24,5.4750167164189874e-12,1.2116903504194741e-27,3.717891546059503e-12,1.0983587635325709e-13,3.726584295695704e-12,3.5794967262923497e-12,3.726584295695701e-12
1.0587911840678754e-22,7.0714164784884635e-12,7.754818242684634e-26,9.954273884138893e-11,2.896555171424015e-10,8.772942970184165e-11,8.426676589066988e-11,8.772942970184162e-11
7.888609052210118e-31,1.2681465969250784e-18,1.925929944387236e-34,8.61153811226292e-19,2.544065160567575e-20,8.631672627717492e-19,8.290982159998065e-19,8.631672627717476e-19
