Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,8.286661490230876e-13,6.88214269644119e-22,1.698938811330791e-06,1.030706132289576e-13,8.67954553461515e-08,6.571336291757387e-08,8.679545534614904e-08
-2.168404344971009e-18,2.1425536281635093e-13,-3.5998900258307764e-21,1.425216313891978e-13,2.664937535561106e-14,1.5315891600613095e-13,1.1595754962590398e-13,5.10455951592034e-06
2.5153490401663703e-17,4.2530938817101e-13,-2.0117032497289633e-21,3.076176747302283e-07,5.347255478484525e-06,1.5715771742357618e-08,1.1898505606255839e-08,1.5715771742323796e-08
5.293955920339377e-23,8.522800546161612e-17,6.139231108792002e-26,1.7473522534886649e-10,1.0600774216880102e-17,8.926880325541197e-12,6.758594954246682e-12,8.926880325540999e-12
1.0101904577379033e-39,2.3479512789256493e-33,-8.96831017167883e-43,1.561845920001249e-33,2.9204134921651043e-34,2.4592714521019413e-28,1.861929254248361e-28,2.45927145210197e-28
8.673617379884035e-19,2.142553610948394e-13,-1.2705494208814505e-21,1.425216364912478e-13,2.664937190130482e-14,6.09348670362189e-07,1.1595754590359122e-13,1.531589266569085e-13
2.1141942363467336e-18,8.911796287651321e-14,-7.907846656006945e-22,5.928083970391592e-14,1.1084614009875053e-14,6.370534296517067e-14,5.621410217974256e-07,6.370534375223302e-14
2.150669592637872e-23,5.7443005273454015e-12,-9.289626019882635e-27,3.821081140391967e-12,7.144838500290671e-13,4.106272454698348e-12,3.108883650392617e-12,4.106272454698354e-12
1.2440796412797536e-21,2.04802867393454e-17,-1.1632227364026952e-25,1.48129770473143e-11,2.574909674432092e-10,7.567750009960663e-13,5.729589192083606e-13,7.567750009944168e-13
1.4791141972893971e-30,3.542442814547718e-19,-5.296307347064899e-34,2.3564159578956885e-19,4.4061381687763284e-20,2.5322900991121372e-19,1.917212112453253e-19,2.5322900991121454e-19
