Intercept,input1,input2,input3,input4,input5,input6,input7
1.6940658945086007e-21,2.2667976500128877e-15,1.34416849539867e-24,1.200592077030678e-09,3.1003988632402634e-16,8.264840597064234e-10,7.484484225120075e-10,8.264840597064246e-10
-4.0657581468206416e-20,3.718490527792503e-15,-1.0587911840678754e-22,3.5166775951192977e-15,5.08594365364781e-16,3.2436737079947695e-15,2.937409857895162e-15,1.6589349267954671e-07
-7.411538288475128e-22,4.748323447531287e-16,-1.2924697071141057e-24,9.563439488976551e-11,1.5273932170695474e-09,6.583450167913837e-11,5.961848670876665e-11,6.583450167913718e-11
3.1763735522036263e-22,3.590704448144813e-16,2.0679515313825692e-25,1.9017892098480764e-10,4.911164432414364e-17,1.309186106532124e-10,1.1855743189489496e-10,1.309186106532128e-10
3.6734198463196485e-39,9.088770462937129e-33,8.004216828223355e-42,8.595497556602056e-33,1.2431111219175917e-33,3.3138043487697426e-27,3.0009189024542613e-27,3.3138043487697534e-27
2.879912020664621e-20,3.718490527614665e-15,2.6469779601696886e-23,3.516677656330663e-15,5.08594274995299e-16,1.9803270209059622e-08,2.937409826875889e-15,3.243673612868999e-15
0.0,1.8499965780383434e-15,4.17726209339279e-23,1.7495920987726457e-15,2.5303214497272563e-16,1.6137690541855575e-15,2.18517912222329e-08,1.6137690837572644e-15
9.926167350636332e-24,5.7442899709211925e-12,1.5348077771980006e-26,5.4325313482262e-12,7.85671817418384e-13,5.010797192420228e-12,4.537683709866916e-12,5.010797192420241e-12
-1.852884572118782e-22,8.06423009333763e-17,-3.101927297073854e-25,1.624189620616103e-11,2.594020919589968e-10,1.118088470460255e-11,1.0125198932960455e-11,1.1180884704602366e-11
4.81482486096809e-34,2.1167626112021252e-22,7.2880649750981825e-37,2.0018800061140655e-22,2.895189372760281e-23,1.8464715748900019e-22,1.6721299354891168e-22,1.846471574890009e-22
