Intercept,input1,input2,input3,input4,input5,input6,input7
-5.293955920339377e-23,7.22165832523539e-13,6.462348535570529e-26,1.74627142533723e-10,1.027055307956946e-13,1.294986940896237e-10,1.1919147605462125e-10,1.2949869408962386e-10
8.470329472543003e-22,5.965966742003329e-13,-4.1359030627651384e-24,5.671422470028476e-13,8.482661248784454e-14,5.295973479192391e-13,4.874449897569787e-13,1.3759771424149773e-08
7.940933880509066e-23,1.6518689397516582e-13,-7.754818242684634e-26,1.503081160269159e-11,2.5880028555903523e-10,1.1165338387664252e-11,1.0276653154154535e-11,1.1165338387664258e-11
-1.5881867761018131e-22,7.105342634746972e-13,9.04728794979874e-26,1.7181450923718224e-10,1.0105130344332126e-13,1.2741292246460455e-10,1.1727171770920644e-10,1.274129224646047e-10
-2.204051907791789e-39,1.9589895905575246e-29,6.2778171201751805e-43,1.862272798854954e-29,2.7853734030851697e-30,3.513208691769719e-27,3.233581099822921e-27,3.5132086917697206e-27
6.352747104407253e-22,5.965966741970414e-13,3.101927297073854e-25,5.671422470022789e-13,8.482661248908531e-14,1.6430168345748604e-09,4.874449897571209e-13,5.295973479254429e-13
-9.529120656610879e-22,3.0167372533988464e-13,5.169878828456423e-25,2.867798662835484e-13,4.289323307361183e-14,2.6779499750803083e-13,1.842309943464597e-09,2.6779499750715195e-13
-3.308722450212111e-24,5.553720421046309e-12,2.0194839173657902e-27,5.279529060497747e-12,7.896512173170971e-13,4.930023470330601e-12,4.537627028161006e-12,4.930023470330603e-12
-7.940933880509066e-23,1.6167780273740244e-13,1.2924697071141057e-26,1.4711509701543444e-11,2.533025502815956e-10,1.0928151343585804e-11,1.0058344590632005e-11,1.0928151343585798e-11
-2.465190328815662e-32,4.500610555107402e-20,1.504632769052528e-35,4.278412021899348e-20,6.3991564826397705e-21,3.9951805250068626e-20,3.677191242953241e-20,3.99518052500687e-20
