Intercept,input1,input2,input3,input4,input5,input6,input7
-1.0587911840678754e-22,1.0271605674387973e-12,2.9888361977013695e-26,1.7701315013854576e-10,1.5554216256153953e-13,1.2644061313976927e-10,1.1537599033898895e-10,1.2644061313976898e-10
6.776263578034403e-21,8.840299928539355e-13,-6.617444900424222e-24,8.437217772934691e-13,1.338432744614796e-13,7.814986353962494e-13,7.131108966105233e-13,1.5259547395741813e-08
7.940933880509066e-23,2.403465761873728e-13,1.0339757656912846e-25,1.5099132335246387e-11,2.771861908392829e-10,1.0816387841839232e-11,9.869862444935972e-12,1.08163878418397e-11
-2.117582368135751e-22,9.32151980468846e-13,8.56261180963095e-26,1.606400826718896e-10,1.4115508273428853e-13,1.1474531994916444e-10,1.0470413419511485e-10,1.1474531994916434e-10
1.4693679385278594e-39,2.753286539537909e-29,-2.2644983183489044e-42,2.627747736288519e-29,4.168511124651632e-30,3.38947562470721e-27,3.092867846964399e-27,3.389475624707197e-27
-1.164670302474663e-21,8.840299928546192e-13,-4.459020489543665e-25,8.437217772929222e-13,1.3384327445823712e-13,1.8222719962449009e-09,7.131108966242897e-13,7.81498635382449e-13
2.117582368135751e-22,4.4317239199331434e-13,-6.203854594147708e-25,4.229655116255772e-13,6.709686840174646e-14,3.917724764795978e-13,2.0256069924066316e-09,3.9177247647733273e-13
-1.6543612251060553e-24,5.552359748601543e-12,-2.473867798773093e-27,5.2991944539468615e-12,8.406343854063337e-13,4.908387273909824e-12,4.4788618833145594e-12,4.9083872739098005e-12
5.293955920339377e-23,2.1744542481731176e-13,1.1632227364026952e-25,1.366042860727348e-11,2.5077481850021243e-10,9.785760573613402e-12,8.929423777413212e-12,9.785760573613832e-12
0.0,7.89789526716932e-20,-6.131378533889052e-35,7.53778297744091e-20,1.1957514704613037e-20,6.981883446909293e-20,6.370909608197596e-20,6.981883446909264e-20
