Intercept,input1,input2,input3,input4,input5,input6,input7
-1.3234889800848443e-22,8.058134108168769e-15,3.877409121342317e-26,9.307431480330972e-11,1.3636373775861407e-15,8.164870794047385e-11,7.850048851906599e-11,8.164870794047367e-11
-1.6940658945086007e-21,4.771030762557398e-15,1.4475660719677984e-24,4.5754725342252626e-15,8.073774649578083e-16,4.41983516295547e-15,4.249414699003286e-15,6.381035692541639e-09
-7.940933880509066e-23,1.996045309615097e-15,-3.877409121342317e-26,7.806064395147787e-12,1.5831410442567168e-10,6.847920736422322e-12,6.5838778923593626e-12,6.847920736422283e-12
-3.1763735522036263e-22,1.2964268194811225e-14,2.5849394142282115e-26,1.4974190835731479e-10,2.193877695052006e-15,1.3135990705655804e-10,1.2629491801972885e-10,1.3135990705655783e-10
-3.6734198463196485e-39,4.16800069676419e-31,1.4349296274686127e-42,3.997159872508356e-31,7.053297281490125e-32,4.223209331309198e-27,4.060370384155362e-27,4.223209331309196e-27
-8.999725064576941e-22,4.771030761332601e-15,2.0679515313825692e-25,4.575472534457907e-15,8.073774634843929e-16,7.617297065694024e-10,4.249414698563846e-15,4.4198351653530016e-15
-6.88214269644119e-22,2.52006712406043e-15,5.169878828456423e-25,2.4167729127681124e-15,4.2645824423027425e-16,2.3345649715088997e-15,8.923706622067678e-10,2.334564971327954e-15
-4.963083675318166e-24,5.7438404292147265e-12,4.0389678347315804e-27,5.508408022928347e-12,9.720011351125396e-13,5.3210363090726595e-12,5.115867234475039e-12,5.321036309072655e-12
2.6469779601696886e-23,3.160852078170274e-15,-6.462348535570529e-26,1.236135008899388e-11,2.506994523447332e-10,1.0844074724417484e-11,1.0425947756878593e-11,1.084407472441737e-11
-7.703719777548943e-34,2.6350680021094995e-22,9.4039548065783e-38,2.527060057231807e-22,4.459192626803774e-23,2.441100634478654e-22,2.346976420869794e-22,2.4411006344786496e-22
