Intercept,input1,input2,input3,input4,input5,input6,input7
-3.3087224502121107e-23,5.3471017740387104e-17,2.7464981276174747e-26,5.032841946224455e-11,1.3781435028427132e-17,8.141565957406919e-12,6.344810407862496e-12,8.14156595740692e-12
3.3881317890172014e-20,5.524556685201185e-16,-6.596765385110396e-23,5.408960768815063e-16,1.4237749350586137e-16,4.1952134217728205e-16,3.269375657399659e-16,4.505765531514462e-08
-1.0587911840678754e-22,1.8229547967959744e-17,9.04728794979874e-26,3.794699626331257e-12,1.3473713718488778e-10,6.13872382052295e-13,4.783973868320328e-13,6.1387238205225e-13
-7.940933880509066e-23,8.909365497782678e-17,5.816113682013476e-26,8.385744330896642e-11,2.2962690264392443e-17,1.3565514534618643e-11,1.057175219823088e-11,1.3565514534618653e-11
7.346839692639297e-40,5.0133708085973344e-33,-9.865141188846712e-43,4.9084690599974834e-33,1.2920337274154625e-33,7.633697057450495e-28,5.949022681136359e-28,7.633697057450508e-28
-7.623296525288703e-21,5.524557135845071e-16,6.2038545941477076e-24,5.408958932667974e-16,1.4237754476520995e-16,5.378685091032776e-09,3.269375804224218e-16,4.195214232409821e-16
0.0,2.365293375637521e-16,-4.963083675318166e-24,2.315801180592654e-16,6.095776242891507e-17,1.7961461673406747e-16,5.107514115637147e-09,1.7961462335797471e-16
-4.963083675318166e-24,5.558112546429499e-12,-4.0389678347315804e-27,5.44181240417556e-12,1.4324232436512708e-12,4.2206953970202524e-12,3.2892335729428638e-12,4.220695397020257e-12
-1.5881867761018131e-22,2.9878635663636605e-17,1.809457589959748e-25,6.2195973245923195e-12,2.208371730250881e-10,1.0061505260022537e-12,7.841039871999505e-13,1.0061505260021023e-12
-7.52316384526264e-37,1.790132985978406e-24,-2.204051907791789e-39,1.7526755363165607e-24,4.613487180984805e-25,1.3593834221343478e-24,1.0593822036394636e-24,1.3593834221343493e-24
