Intercept,input1,input2,input3,input4,input5,input6,input7
-1.6940658945086007e-21,6.721524091746634e-11,0.0,7.409030309134142e-09,7.690271205135321e-12,6.523762943708652e-09,6.277311222326634e-09,6.523762943708663e-09
0.0,6.865789796823493e-11,-3.441071348220595e-22,6.421191767712712e-11,7.852683488740604e-12,6.220959078154668e-11,5.985946542147316e-11,6.247405295113686e-07
-1.6940658945086007e-21,1.2392229627886746e-11,3.308722450212111e-24,5.987399237977121e-10,8.187011346307651e-09,5.277792707494511e-10,5.078410677662529e-10,5.277792707494516e-10
-1.0587911840678754e-22,1.9541550713184956e-12,0.0,2.154034405667776e-10,2.2357998379854219e-13,1.896659785268334e-10,1.8250086426702998e-10,1.8966597852683352e-10
1.4693679385278594e-39,4.316971948612369e-29,-1.793662034335766e-43,4.037424033963488e-29,4.93749668222428e-30,4.190603031448511e-27,4.032292354061745e-27,4.190603031448513e-27
0.0,6.865789796824078e-11,1.3234889800848443e-23,6.42119176770808e-11,7.852683488839865e-12,7.463217360168474e-08,5.985946542177591e-11,6.220959078147058e-11
-6.776263578034403e-21,3.6294669126879016e-11,2.9778502051908996e-23,3.3944387682375066e-11,4.1511691651119996e-12,3.288589631706126e-11,8.746198987191894e-08,3.288589631706953e-11
0.0,5.547789218524803e-12,0.0,5.188539048402934e-12,6.345232534799184e-13,5.0267442965696e-12,4.836846258347419e-12,5.026744296569603e-12
2.6469779601696886e-23,3.9467680705667337e-13,5.169878828456423e-26,1.906910769713772e-11,2.6074593471267395e-10,1.6809100836974317e-11,1.6174094342731523e-11,1.6809100836974452e-11
-3.1554436208840472e-30,8.8772421690123e-18,3.0814879110195774e-33,8.302391425083239e-18,1.0153263509367144e-18,8.043497091299993e-18,7.739633551010894e-18,8.043497091300004e-18
