Intercept,input1,input2,input3,input4,input5,input6,input7
-6.352747104407253e-22,8.330646440092107e-13,-1.550963648536927e-25,1.0759735058194216e-09,1.307010663089317e-13,8.002175359912449e-10,7.371743403186515e-10,8.002175359912446e-10
1.3552527156068805e-20,9.95564756809279e-13,-1.3028094647710186e-23,9.519178715093853e-13,1.561603030014113e-13,8.885017899288086e-13,8.185033336597131e-13,1.360720990327145e-07
-2.117582368135751e-22,1.8698732296146474e-13,6.203854594147708e-25,8.375592415390658e-11,1.6147509399105546e-09,6.231269591377058e-11,5.7403541459272e-11,6.231269591376905e-11
-1.0587911840678754e-22,1.1941026903722943e-13,-1.2924697071141057e-26,1.5422847042033775e-10,1.8734499901733563e-14,1.1470201256068276e-10,1.0566549299360528e-10,1.1470201256068277e-10
7.346839692639297e-40,3.655937183234088e-30,-5.3809861030072976e-43,3.495656026306396e-30,5.734556738112331e-31,3.5121082399587624e-27,3.235415319550847e-27,3.512108239958764e-27
-5.082197683525802e-21,9.955647568538111e-13,-4.963083675318166e-24,9.51917871520927e-13,1.561603030574528e-13,1.6244169161027502e-08,8.185033336627117e-13,8.885017899326602e-13
3.3881317890172014e-21,5.038584064945127e-13,-3.308722450212111e-24,4.81768582653274e-13,7.903321296955763e-14,4.496735073722646e-13,1.823343681671906e-08,4.4967350737473324e-13
-3.308722450212111e-24,5.557313247012733e-12,-3.2311742677852644e-27,5.313673230238672e-12,8.716979129881977e-13,4.959680154591333e-12,4.56894379554359e-12,4.959680154591336e-12
7.940933880509066e-23,2.887387762949828e-14,7.754818242684634e-26,1.2933274119683319e-11,2.4934375391171007e-10,9.622091637462629e-12,8.864038509910539e-12,9.62209163746249e-12
4.930380657631324e-32,1.2332825351504977e-19,-7.222237291452134e-35,1.1792137857034977e-19,1.9344776229653034e-20,1.1006554143547625e-19,1.0139429498880697e-19,1.1006554143547628e-19
