Intercept,input1,input2,input3,input4,input5,input6,input7
-2.710505431213761e-20,4.3384560699167185e-12,1.3234889800848443e-23,2.1394609775781077e-08,2.006891971865898e-12,1.2696875365946755e-08,1.1178531541106433e-08,1.2696875365946749e-08
3.469446951953614e-18,3.094496922141331e-12,4.235164736271502e-22,3.025071738305477e-12,1.431458779543349e-12,2.687087223356289e-12,2.3657544411845656e-12,3.6497115773191785e-06
4.0657581468206416e-20,2.7057291215826797e-12,-1.9852334701272664e-23,1.3211773306642662e-09,3.6011290620428443e-08,7.847704768269711e-10,6.90924442029867e-10,7.847704768269604e-10
-2.9116757561866574e-22,3.3052616826003775e-14,1.550963648536927e-25,1.6299527473930147e-10,1.5289547776538686e-14,9.673140619493272e-11,8.516387252770391e-11,9.67314061949327e-11
-2.0571151139390031e-38,2.882661458488925e-30,7.89211295107737e-42,2.8179888123550547e-30,1.3334674929034823e-30,8.436363690388764e-27,7.427509122298442e-27,8.43636369038876e-27
-4.0657581468206416e-19,3.094496923439189e-12,7.279189390466644e-23,3.025071738575138e-12,1.4314587799453588e-12,3.156971336541505e-07,2.365754442358335e-12,2.687087225260459e-12
-8.809142651444724e-20,1.4967690850007872e-12,3.143286327701505e-23,1.4631889997525823e-12,6.923785356038822e-13,1.2997101587532644e-12,6.592717157782488e-08,1.2997101587745643e-12
-1.1580528575742387e-23,3.814937452767163e-12,3.2311742677852644e-27,3.729349150627506e-12,1.7647216483711642e-12,3.312677294072063e-12,2.9165339148409003e-12,3.312677294072063e-12
1.5881867761018131e-22,1.625596180729319e-14,-7.108583389127582e-26,7.93760471313528e-12,2.163550520588145e-10,4.7148839834082385e-12,4.151059044223231e-12,4.714883983408283e-12
-6.310887241768095e-30,2.1400022889070187e-18,2.311115933264683e-33,2.0919912363667777e-18,9.899266799403933e-19,1.8582577249287353e-18,1.636039733471198e-18,1.8582577249287345e-18
