Intercept,input1,input2,input3,input4,input5,input6,input7
-6.071532165918825e-18,2.424973733772891e-07,-1.6940658945086007e-20,5.82419383482121e-06,2.2469440464840983e-12,4.398554957068808e-07,2.087929624811467e-07,4.39855495706892e-07
-2.6020852139652106e-17,3.8234055061408073e-07,2.371692252312041e-20,1.9178364876282303e-11,3.4610386523978645e-12,1.4224420081132916e-10,6.752123908212393e-11,2.973641478210515e-05
-8.673617379884035e-19,1.1779291916482742e-07,2.117582368135751e-21,1.6771478710699578e-06,6.728978159796719e-06,1.2667943363117528e-07,6.013287202602765e-08,1.2667943363117468e-07
-2.9116757561866574e-22,9.897551523766831e-12,-6.72084247699335e-25,2.377149812458389e-10,9.170921791780579e-17,1.795274056431714e-11,8.521903042396357e-12,1.7952740564317573e-11
0.0,1.2473001079338409e-28,4.932570594423356e-43,6.256510470340389e-33,1.129086071652173e-33,2.300188837018375e-28,1.0918659565121747e-28,2.300188837018376e-28
-4.336808689942018e-19,3.823405506140818e-07,7.940933880509066e-22,1.9178364878373416e-11,3.4610386687429534e-12,2.5722860463932917e-06,6.75212390709115e-11,1.422442008074778e-10
1.0842021724855044e-19,9.970869776391156e-08,6.700162961679524e-22,5.001430750751444e-12,9.025871248471893e-13,3.709516033340823e-11,2.896206660930144e-07,3.7095160332910164e-11
3.1019272970738538e-24,2.893513994715476e-12,6.742689979763446e-27,1.451398944739372e-16,2.6192784957330296e-17,1.0764894935652643e-15,5.109937982693021e-16,1.0764894935597805e-15
0.0,1.632266393363659e-12,1.2924697071141057e-26,2.3240379184577852e-11,9.324401661652617e-11,1.7554075721408364e-12,8.332662679594538e-13,1.7554075721408226e-12
2.68833699079734e-24,2.871989907953912e-12,6.918310138788274e-27,1.4406023711344507e-16,2.5997943744360092e-17,1.0684817724000364e-15,5.0719265029892965e-16,1.0684817723947995e-15
