Intercept,input1,input2,input3,input4,input5,input6,input7
-1.852884572118782e-22,1.1481240592515376e-16,-4.0187729955579225e-26,1.6201447618269369e-10,3.969737909842025e-17,2.8714790753009508e-11,2.2473636689646904e-11,2.8714790753009485e-11
2.439454888092385e-19,5.515849011399578e-16,7.444625512977249e-23,5.306404636360305e-16,1.907149162994103e-16,4.191373765691623e-16,3.2803807071174665e-16,7.462157383915581e-08
-2.6469779601696886e-23,4.761520925695871e-17,6.462348535570529e-26,9.636401350833836e-12,1.66255664808437e-10,1.707940854929772e-12,1.336720249548557e-12,1.7079408549297729e-12
-3.1763735522036263e-22,1.82807256359873e-16,-4.301500743989133e-26,2.5796360278606266e-10,6.320718470413082e-17,4.5720426041074305e-11,3.5783100527566564e-11,4.57204260410743e-11
6.612155723375367e-39,1.0071913798520356e-32,2.780176153220437e-42,9.689478216084666e-33,3.482450994204536e-33,2.5190038878583027e-27,1.971498893461472e-27,2.5190038878583066e-27
-1.2705494208814505e-21,5.515847245709069e-16,2.481541837659083e-24,5.306407779129645e-16,1.907151748967493e-16,6.454656675650223e-09,3.280380432079913e-16,4.191374969756402e-16
4.235164736271502e-22,2.3716837697575333e-16,6.203854594147708e-25,2.2816297320753092e-16,8.200300889096452e-17,1.8021920102752973e-16,1.1982375726661927e-09,1.8021920211320428e-16
-3.308722450212111e-24,3.817406591245284e-12,-1.0097419586828951e-28,3.672457769911915e-12,1.3199012316838556e-12,2.9007660380549317e-12,2.270285116184623e-12,2.900766038054934e-12
-1.3234889800848443e-22,7.463739201734498e-17,5.169878828456423e-26,1.5105170728366347e-11,2.6060768019714867e-10,2.6772170718516513e-12,2.0953244733572914e-12,2.677217071851632e-12
1.504632769052528e-36,3.616856575315546e-24,-8.265194654219209e-40,3.479522737540404e-24,1.2505593351075401e-24,2.7483723484556828e-24,2.1510141647329073e-24,2.7483723484556865e-24
