Intercept,input1,input2,input3,input4,input5,input6,input7
-5.293955920339377e-23,1.7078772970910333e-14,2.5849394142282115e-26,8.947658261507615e-11,3.4785006580931054e-15,6.544533865769679e-11,6.011065909307846e-11,6.544533865769677e-11
0.0,1.6049971016296422e-14,3.308722450212111e-24,1.4257348720531394e-14,3.168923314476988e-15,1.3450571456223392e-14,1.2354168100869031e-14,2.3846791116651734e-08
-3.3087224502121107e-23,5.128721258239603e-15,2.4233807008389483e-27,7.451991918213467e-12,5.352845153362061e-11,5.451265358048802e-12,5.006913559993381e-12,5.451265358048813e-12
-1.0587911840678754e-22,2.5332974028840192e-14,7.754818242684634e-26,1.3272077258938396e-10,5.1596661528543815e-15,9.707518610081418e-11,8.9162246506565e-11,9.707518610081423e-11
-3.6734198463196485e-40,5.726023711994157e-31,1.4349296274686127e-42,5.086483750530182e-31,1.1305522004440106e-31,2.2280830457774147e-27,2.0464641660165485e-27,2.2280830457774144e-27
0.0,1.604997102893106e-14,6.203854594147708e-25,1.4257348717998153e-14,3.1689233181734514e-15,2.0627246157951684e-09,1.2354168102316597e-14,1.345057145374185e-14
-2.9116757561866574e-22,8.098859642946891e-15,2.3264454728053903e-25,7.194297481740058e-15,1.5990474457443923e-15,6.787195449022122e-15,4.493857307100514e-10,6.787195448867026e-15
1.6543612251060553e-24,3.5999706851502695e-12,8.077935669463161e-28,3.197889724755484e-12,7.107820338029087e-13,3.0169314851338363e-12,2.771010796637188e-12,3.016931485133837e-12
-5.293955920339377e-23,7.499059099543422e-15,1.1309109937248425e-26,1.0896074282496782e-11,7.826766192698544e-11,7.970673200775708e-12,7.320955614885775e-12,7.970673200775721e-12
0.0,7.020191216636949e-22,3.76158192263132e-37,6.236105602222393e-22,1.386074006443816e-22,5.883224549715448e-22,5.403662239806964e-22,5.883224549715443e-22
