Intercept,input1,input2,input3,input4,input5,input6,input7
-2.168404344971009e-18,3.971397047265012e-09,1.2705494208814505e-21,6.660598685881221e-06,1.7485068254174136e-10,1.624213329958432e-07,1.2038741250758615e-07,1.6242133299584447e-07
5.204170427930421e-18,2.9209296403237202e-09,-8.046812998915853e-21,2.405072870904821e-10,1.286012290365402e-10,2.0050148387622213e-09,1.4861258926145639e-09,9.383923875164365e-06
1.5612511283791264e-17,3.834072675367369e-09,-5.082197683525802e-21,1.2773553834443817e-06,2.062825269679473e-05,3.325177103519446e-08,2.4646360194100118e-08,3.325177103518218e-08
-7.940933880509066e-23,1.6429282616125166e-13,1.2924697071141057e-25,2.755424776233448e-10,7.2334023642382e-15,6.719212284539566e-12,4.9803099513141216e-12,6.7192122845396306e-12
1.8367099231598242e-40,8.474772921167573e-30,-3.1389085600875902e-43,6.97806826922104e-31,3.7312306274842593e-31,3.46599420383136e-28,2.5690102788174767e-28,3.4659942038313572e-28
-1.0842021724855044e-19,2.9209296403238625e-09,5.293955920339377e-23,2.405072870902571e-10,1.2860122903702988e-10,8.135271859010272e-07,1.4861258926139385e-09,2.0050148387627904e-09
2.710505431213761e-20,1.1894219661503177e-09,-4.301339185275744e-23,9.793616605314604e-11,5.236727532867552e-11,8.164553704954404e-10,1.432777232794003e-07,8.164553704954884e-10
8.271806125530277e-25,3.7906413703834364e-12,-2.2214323091023692e-27,3.1211873772574787e-13,1.6689246202283848e-13,2.6020113908682533e-12,1.928622385274462e-12,2.602011390868252e-12
2.6469779601696886e-22,5.4145469150339726e-14,-2.0679515313825692e-25,1.8039044213411655e-11,2.9131592293407405e-10,4.695875366028491e-13,3.4806036519156033e-13,4.695875366027457e-13
1.6155871338926322e-27,7.345492776796752e-15,-5.127595883936577e-30,6.048226960693668e-16,3.234036814636918e-16,5.042169387507179e-15,3.737278316774416e-15,5.042169387507172e-15
