Intercept,input1,input2,input3,input4,input5,input6,input7
3.3881317890172014e-21,1.190817850611131e-16,4.963083675318166e-24,1.2378368316988147e-08,5.746076340907642e-17,1.926938101365928e-09,1.4994259853037451e-09,1.926938101365934e-09
0.0,5.132228622102915e-16,0.0,5.03375375168996e-16,2.476504109205288e-16,3.889086132264708e-16,3.0262401386763537e-16,7.661190281150721e-06
5.082197683525802e-21,6.19530354114911e-17,2.481541837659083e-24,5.712109431901591e-10,1.6799236691763794e-08,8.892032657593751e-11,6.919238775502948e-11,8.892032657593606e-11
9.26442286059391e-23,1.4558297425607889e-18,0.0,1.513312640798299e-10,7.024844115244945e-19,2.355770738240931e-11,1.8331174508577817e-11,2.3557707382409354e-11
-1.1020259538958945e-39,1.3672837234237267e-34,9.865141188846712e-43,1.3410447899279393e-34,6.59758147049249e-35,2.2124887654093957e-27,1.7216241376387947e-27,2.2124887654093947e-27
1.0842021724855044e-19,5.132239597433494e-16,1.3234889800848443e-22,5.033750575316408e-16,2.476470426410745e-16,6.626816822627989e-07,3.0262509251115414e-16,3.889087521928137e-16
-2.710505431213761e-20,2.1940228866390425e-16,1.9852334701272664e-23,2.151918172141684e-16,1.0586863968278772e-16,1.6625772130838505e-16,1.2231065693299325e-07,1.662577047647728e-16
3.308722450212111e-24,3.817416926922056e-12,1.0097419586828951e-27,3.744158550159872e-12,1.8420257701003895e-12,2.892745930194019e-12,2.250958872804436e-12,2.892745930194018e-12
-1.1911400820763599e-22,7.701575334674766e-19,7.754818242684634e-26,7.100901591513001e-12,2.0883655676224864e-10,1.1053963444301761e-12,8.601521770333769e-13,1.105396344430231e-12
1.2037062152420224e-35,2.66831836961507e-23,2.938735877055719e-38,2.6171118401254247e-23,1.2875489614455656e-23,2.0219869225522344e-23,1.5733871946743088e-23,2.0219869225522358e-23
