Intercept,input1,input2,input3,input4,input5,input6,input7
-2.168404344971009e-19,5.51581957405838e-13,-1.2705494208814505e-21,1.914274967430446e-06,2.0031527628816437e-13,6.66046785973031e-08,5.021675141132066e-08,6.660467859730387e-08
-4.336808689942018e-18,1.2731054834177308e-13,3.3881317890172014e-21,9.231075766383571e-14,4.6234737136987875e-14,9.138515648149294e-14,6.890004739790574e-14,8.768963663458494e-06
-2.168404344971009e-18,5.529070925005859e-13,2.964615315390051e-21,2.1618521207211827e-07,4.886312256130226e-06,7.522219779800772e-09,5.671394993546405e-09,7.52221977979966e-09
-1.3234889800848443e-23,5.67376746227334e-17,-1.0339757656912846e-25,1.9690910616685033e-10,2.0605139117016394e-17,6.851193246668116e-12,5.165472987550503e-12,6.851193246668184e-12
-9.183549615799121e-41,4.0952698985308316e-33,8.96831017167883e-44,2.9694118920009536e-33,1.4872588022948822e-33,4.94512432113734e-28,3.72838791451938e-28,4.94512432113735e-28
3.2526065174565133e-19,1.2731054567781661e-13,1.3234889800848443e-22,9.231075308456384e-14,4.623473771270558e-14,7.585025322949748e-07,6.890004739459702e-14,9.138515326541472e-14
-4.0657581468206416e-20,5.273331894769179e-14,2.3161057151484775e-23,3.8236049977603306e-14,1.915089721169178e-14,3.785265707418451e-14,1.356447579775493e-07,3.785265719329852e-14
-1.6543612251060553e-24,3.817412442216468e-12,1.2116903504194741e-27,2.7679420851638065e-12,1.3863506919787933e-12,2.740187934643566e-12,2.0659710283455882e-12,2.740187934643573e-12
-1.0587911840678754e-22,2.6635274127591983e-17,7.754818242684634e-26,1.0414321804799521e-11,2.3538903418195166e-10,3.6236899241345165e-13,2.732089395884493e-13,3.623689924134904e-13
0.0,2.3541528366177116e-19,1.4444474582904269e-34,1.7069569531759847e-19,8.549459780599032e-20,1.6898412987466726e-19,1.2740597539221803e-19,1.6898412987466776e-19
