Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,1.2800184331224494e-15,1.0339757656912846e-25,1.2783214849915171e-09,5.201712324255419e-16,5.807099310422592e-10,4.907777575617929e-10,5.807099310422594e-10
0.0,2.728701462211057e-15,-1.0587911840678754e-22,2.6544798398159443e-15,1.1088838655355475e-15,2.2670339333753735e-15,1.915947604409963e-15,4.923830272588544e-07
4.235164736271502e-22,5.428318038528485e-16,-3.101927297073854e-25,6.369035831744742e-11,1.399520397802992e-09,2.8933145671060195e-11,2.4452387659646468e-11,2.893314567105986e-11
0.0,2.0280993087807082e-16,3.877409121342317e-26,2.025410613636893e-10,8.241747845792043e-17,9.200941011995477e-11,7.776028884542817e-11,9.200941011995477e-11
4.408103815583578e-39,1.4231584814361945e-32,1.0313556697430654e-42,1.3844480292774824e-32,5.783401876296851e-33,6.456487206624148e-27,5.456597422582759e-27,6.4564872066241455e-27
-6.776263578034403e-21,2.7287013976259177e-15,-1.6543612251060553e-24,2.654479684305989e-15,1.1088840082242032e-15,4.259040913202149e-08,1.915947697467782e-15,2.267033995000329e-15
-2.541098841762901e-21,1.266947096750582e-15,8.271806125530277e-25,1.2324856553026256e-15,5.148593308218132e-16,1.0525930539771569e-15,8.537672992102566e-09,1.0525930556315181e-15
0.0,3.817399573854028e-12,1.8175355256292112e-27,3.7135648527212495e-12,1.5513069095944106e-12,3.1715359584102415e-12,2.6803731475739144e-12,3.1715359584102407e-12
-5.293955920339377e-23,9.221644933396166e-17,-3.877409121342317e-26,1.0819739482043488e-11,2.3775099566186786e-10,4.915172513186102e-12,4.153979835890375e-12,4.915172513186011e-12
-1.925929944387236e-34,1.400082013238992e-22,1.4693679385278594e-38,1.3619992496730822e-22,5.689624203901999e-23,1.1632029510675129e-22,9.830624644038169e-23,1.1632029510675114e-22
