Intercept,input1,input2,input3,input4,input5,input6,input7
-3.3881317890172014e-21,1.166015183222956e-09,8.271806125530277e-25,2.7938452032307395e-09,2.919918524524525e-15,2.584103400409207e-09,2.392415991160221e-09,2.5841034004092096e-09
-5.082197683525802e-21,2.4679333480701597e-10,1.6543612251060553e-24,2.0775789515069558e-14,6.180163325985051e-16,1.7980504667248038e-13,1.6646720439985183e-13,2.1529471680396048e-08
-5.293955920339377e-22,1.0553430430593584e-10,7.754818242684634e-26,2.4832217140129527e-10,2.485479960518139e-10,2.2968116308732815e-10,2.1264353715543545e-10,2.2968116308732844e-10
-5.082197683525802e-21,1.8557907718655028e-09,2.895132143935597e-24,4.4465905939965e-09,4.6472446759933645e-15,4.112772554788169e-09,3.8076892846168455e-09,4.112772554788174e-09
2.938735877055719e-39,5.9319001405626745e-27,-4.304788882405838e-42,4.993648181211341e-31,1.485457938606585e-32,1.314617814988165e-26,1.2171001680287817e-26,1.3146178149881668e-26
4.235164736271502e-22,2.467933348070051e-10,6.203854594147708e-25,2.0775789515652785e-14,6.18016335545336e-16,1.8624318607535627e-09,1.664672043935058e-13,1.7980504666404056e-13
-2.117582368135751e-22,1.2552698123036733e-10,2.5849394142282115e-26,1.05672308477037e-14,3.14342868996818e-16,9.145459594901483e-14,4.090319610484473e-10,9.145459594931977e-14
6.203854594147708e-25,1.8549306435262527e-12,-1.3696597466899817e-28,1.5615352272690165e-16,4.645090756865602e-18,1.351438000455087e-15,1.2511890518154461e-15,1.3514380004561617e-15
-1.0587911840678754e-21,1.6535898844717624e-10,4.652890945610781e-25,3.8908962675196185e-10,3.894434655915864e-10,3.5988151002910767e-10,3.3318569194258336e-10,3.598815100291079e-10
3.2311742677852644e-27,9.860647188493252e-15,-2.2856936579987715e-30,8.300983113445428e-19,2.4692891495998188e-20,7.184124843760354e-18,6.6512103021817434e-18,7.184124843767874e-18
