Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,5.210310094906148e-15,6.462348535570529e-26,9.870573054128475e-11,2.446939731188137e-15,7.282918778736647e-11,6.702792358807855e-11,7.282918778736646e-11
1.6940658945086007e-21,4.652619222440964e-15,1.0339757656912846e-23,4.564406125438688e-15,2.185029038189495e-15,4.222362834653433e-15,3.886027318344943e-15,2.3256256666577235e-08
2.6469779601696886e-23,2.5727864333115876e-15,-1.2924697071141057e-26,4.818864811331815e-12,1.3494566179775098e-10,3.5559844613569177e-12,3.2727298216219473e-12,3.5559844613568397e-12
-5.293955920339377e-23,8.385473624470554e-15,1.2924697071141057e-25,1.588570132982083e-10,3.9381050653327665e-15,1.17211302620331e-10,1.0787474739705294e-10,1.1721130262033104e-10
0.0,7.502748725942739e-31,1.0044507392280289e-41,7.360497543001179e-31,3.523547277721348e-31,1.0487266322605116e-26,9.651895168345441e-27,1.048726632260513e-26
4.235164736271502e-22,4.652619221716565e-15,-1.2924697071141057e-25,4.5644061396300056e-15,2.1850290335042922e-15,2.0116358251590604e-09,3.88602731858405e-15,4.222362833183248e-15
-1.0587911840678754e-22,2.352473061908064e-15,-2.5849394142282115e-26,2.3078704654494007e-15,1.1048017673404547e-15,2.1349253722035356e-15,4.3913975570093904e-10,2.1349253720718653e-15
0.0,3.816890199279906e-12,8.077935669463161e-28,3.7445224357226426e-12,1.7925421151775553e-12,3.4639188266815857e-12,3.18799774491506e-12,3.4639188266815865e-12
2.6469779601696886e-23,4.075591248913278e-15,-5.169878828456423e-26,7.633639154926202e-12,2.1376953453110845e-10,5.633090630533951e-12,5.18438252326137e-12,5.633090630533887e-12
-1.4444474582904269e-34,1.6809454971391052e-22,1.6456920911512025e-37,1.6490749795348614e-22,7.894294673471048e-23,1.525498101900938e-22,1.4039833933959098e-22,1.5254981019009368e-22
