Intercept,input1,input2,input3,input4,input5,input6,input7
6.948317145445432e-23,3.15687077474209e-17,-2.1810426307550534e-26,4.946442446974969e-11,9.37752763682025e-18,3.4203935001076415e-12,2.601916038237087e-12,3.4203935001075974e-12
-8.131516293641283e-20,3.4275436738341716e-16,6.617444900424222e-24,3.2180577371903146e-16,1.0047317712075951e-16,2.5107285085263226e-16,1.9099279707964468e-16,8.452521858873177e-08
5.955700410381799e-23,1.254806252570108e-17,-4.8467614016778965e-27,3.655045520370258e-12,4.228240444010101e-11,2.52747937692339e-13,1.9226703380541607e-13,2.5274793769230266e-13
1.0587911840678754e-22,5.2617562535678164e-17,-4.8467614016778965e-27,8.244548585180301e-11,1.563011860365999e-17,5.7009862531237904e-12,4.336778082786451e-12,5.700986253123738e-12
4.5917748078995606e-40,1.9289012140640366e-33,1.3452465257518244e-43,1.8110085340264124e-33,5.654277852766923e-34,2.1060719055223457e-28,1.6021028774866859e-28,2.106071905522347e-28
1.3552527156068805e-20,3.42754417769783e-16,-8.271806125530277e-25,3.2180555973774675e-16,1.0047320245316577e-16,7.311307214615303e-09,1.9099278852349522e-16,2.5107285622930624e-16
1.6940658945086007e-21,1.432442220600734e-16,2.0679515313825692e-25,1.3448926296602676e-16,4.19898457731497e-17,1.0492858791204786e-16,1.3192111510010738e-09,1.0492858734336118e-16
1.3234889800848443e-23,3.6003007739104658e-12,4.0389678347315804e-28,3.3802536805443032e-12,1.0553729125337309e-12,2.637275497562919e-12,2.006192975791466e-12,2.6372754975629164e-12
1.1249656330721176e-22,2.057356544293288e-17,-1.9387045606711586e-26,5.9927433501367995e-12,6.932542881450657e-11,4.1440072754910725e-13,3.1523738401244284e-13,4.14400727549041e-13
6.018531076210112e-36,1.1275922954469457e-24,-1.8367099231598242e-40,1.0586748847369293e-24,3.3053637452181164e-25,8.259786386660687e-25,6.283274328286709e-25,8.2597863866606695e-25
