Intercept,input1,input2,input3,input4,input5,input6,input7
-3.3881317890172014e-21,3.5020831745504257e-11,4.963083675318166e-24,6.5774749398451106e-09,5.018439622226333e-12,4.911273911177861e-09,4.531140561699163e-09,4.911273911177863e-09
0.0,6.053734700849945e-11,-2.9116757561866574e-22,5.0029819218241226e-11,8.158071339086697e-12,4.8083220033442474e-11,4.4361571472902825e-11,2.254294002118111e-06
-8.470329472543003e-22,7.82156628579038e-12,-2.0679515313825692e-25,5.320035988781254e-10,2.6336336860151656e-09,3.9812477648439137e-10,3.673098580879588e-10,3.9812477648439147e-10
-5.293955920339377e-23,1.0182284678095673e-12,1.2924697071141057e-25,1.912396678275381e-10,1.4591081458232722e-13,1.427949783121221e-10,1.317426252208022e-10,1.4279497831212218e-10
7.346839692639297e-40,1.5716412971899327e-29,-4.484155085839415e-44,1.2988499473676534e-29,2.117958988146569e-30,2.2837767573848777e-27,2.1070120881876544e-27,2.2837767573848785e-27
-6.776263578034403e-20,6.053734700764094e-11,3.970466940254533e-23,5.0029819218525776e-11,8.158071338722737e-12,1.9503703691355704e-07,4.4361571473366873e-11,4.8083220034465696e-11
0.0,3.06841157362756e-11,-8.271806125530277e-25,2.535824311841096e-11,4.135021065749523e-12,2.437158483882584e-11,4.269276112985497e-08,2.4371584838811365e-11
-4.963083675318166e-24,3.5894092198577745e-12,8.077935669463161e-28,2.96639187620545e-12,4.837122524665726e-13,2.8509731899999455e-12,2.630307430445772e-12,2.8509731899999447e-12
-1.3234889800848443e-23,2.4912984990818364e-13,2.5849394142282115e-26,1.6945196383479277e-11,8.388559796546967e-11,1.2680933995339934e-11,1.1699427770815194e-11,1.2680933995339926e-11
-9.466330862652142e-30,5.741189409869749e-18,5.3926038442842604e-33,4.744685429283318e-18,7.736882286705036e-19,4.560075512064021e-18,4.207124972219061e-18,4.560075512064021e-18
