Intercept,input1,input2,input3,input4,input5,input6,input7
-8.131516293641283e-20,1.8831337782109723e-11,5.955700410381799e-23,1.3144567660411336e-07,4.827904820827248e-12,8.344696834806108e-08,7.566021546068534e-08,8.344696834806104e-08
0.0,1.267043736453936e-11,-8.470329472543003e-22,1.1824876661376099e-11,3.248397237305956e-12,1.0606444529070786e-11,9.616716990250074e-12,5.245227736274502e-06
1.6263032587282567e-19,7.674149017426576e-12,1.5881867761018131e-22,1.2094077767892161e-08,2.7952334048103784e-07,7.679257524187504e-09,6.96267689959296e-09,7.679257524187495e-09
-8.470329472543003e-22,1.434208787365816e-13,0.0,1.0011001163457168e-09,3.676968465397754e-14,6.355383598773082e-10,5.762338667749217e-10,6.355383598773086e-10
-1.5881867761018131e-22,7.051024398959159e-14,1.809457589959748e-25,6.580474805203439e-14,1.8077140924187476e-14,3.124507757491535e-10,2.8329480965006846e-10,3.1245077574915373e-10
2.168404344971009e-19,1.267043736392717e-11,-1.3234889800848443e-23,1.1824876661368654e-11,3.2483972375971236e-12,1.9426836174926655e-06,9.616716990250074e-12,1.060644452836272e-11
-1.3552527156068805e-19,6.311396519432076e-12,2.117582368135751e-22,5.89020593798461e-12,1.6180911857764483e-12,5.283280690864905e-12,4.354625962848411e-07,5.283280690803694e-12
-6.617444900424222e-24,1.1521692009441034e-11,1.2116903504194741e-26,1.0752792742000262e-11,2.9538863908896217e-12,9.644827849273997e-12,8.74483240797381e-12,9.644827849274007e-12
6.352747104407253e-22,4.608037568595276e-14,1.2407709188295415e-24,7.262038381739842e-11,1.6784324246322486e-09,4.6111050345621536e-11,4.1808253473228453e-11,4.611105034562148e-11
0.0,6.464031305468176e-18,6.933347799794049e-33,6.032654652506438e-18,1.6572230960401493e-18,5.411051528063107e-18,4.9061258016527884e-18,5.411051528063111e-18
