Intercept,input1,input2,input3,input4,input5,input6,input7
6.938893903907228e-18,1.0850759380135211e-06,-5.929230630780102e-21,4.096893973993621e-05,6.458357638102942e-12,3.324705348787574e-06,1.5870092918875e-06,3.3247053487875658e-06
0.0,1.8049534684957473e-06,6.776263578034403e-21,4.075792802659382e-11,1.0743059205386201e-11,4.1546042258875596e-10,1.9831518343127528e-10,5.580488678269907e-05
1.3877787807814457e-17,4.852049159346777e-07,2.371692252312041e-20,1.0104926493060774e-05,0.0001399570587685194,8.20083184523673e-07,3.9145713602388667e-07,8.200831845236053e-07
6.352747104407253e-22,4.426520961071922e-11,-6.203854594147708e-25,1.67131040472358e-09,2.6346594249369134e-16,1.3562993519825645e-10,6.474136647815248e-11,1.356299351982561e-10
6.352747104407253e-22,2.1477013658988705e-10,2.0679515313825692e-25,4.849757025991123e-15,1.2783090166608593e-15,6.580621658493839e-10,3.1411829388833905e-10,6.580621658493841e-10
1.0408340855860843e-17,1.8049534684957538e-06,1.6940658945086007e-21,4.075792801007668e-11,1.0743059194904168e-11,2.0668738172376854e-05,1.9831518342492254e-10,4.154604226056966e-10
1.0842021724855044e-18,4.733355973454727e-07,-7.411538288475128e-22,1.0688462908527358e-11,2.8172872256708855e-12,1.0895139998894117e-10,2.4391031354127703e-06,1.0895139998878235e-10
6.617444900424222e-24,1.0336066024155597e-11,-2.4868840037092397e-27,2.3340027442978526e-16,6.152012850219378e-17,2.379134107024488e-15,1.1356518964508729e-15,2.379134107025509e-15
8.470329472543003e-22,6.7134203972723e-12,2.5849394142282115e-25,1.3981436997761686e-10,1.936481973330389e-09,1.1346882518358794e-11,5.41630192797614e-12,1.1346882518358548e-11
8.271806125530277e-24,1.0259178773213224e-11,-2.0171173346501272e-27,2.316640717561784e-16,6.106249660006703e-17,2.3614363600589613e-15,1.1272040835066992e-15,2.3614363600606222e-15
