Intercept,input1,input2,input3,input4,input5,input6,input7
-6.776263578034403e-21,2.934976921561339e-09,6.617444900424222e-24,7.986696284053336e-09,1.2052021524897613e-21,7.034728228157204e-09,6.740852435334602e-09,7.034728228157204e-09
-6.776263578034403e-21,9.49526327563734e-10,8.68539643180679e-24,1.4498408186523193e-20,3.952630858296358e-22,2.6430488522600617e-19,2.5326243763872952e-19,2.2218955835936264e-08
0.0,2.898579955519716e-10,2.0679515313825692e-25,7.815935892680029e-10,1.35750059419185e-09,6.884321488916632e-10,6.596728938076752e-10,6.884321488916631e-10
0.0,4.897759423382388e-09,0.0,1.3327844828880613e-08,2.011496454575825e-21,1.1739242723606166e-08,1.1248835823631228e-08,1.1739242723606161e-08
4.235164736271502e-22,3.3046512952981846e-10,-2.0679515313825692e-25,5.046990808704014e-21,1.3565762045869654e-22,7.920785877554143e-10,7.589895023771425e-10,7.920785877554142e-10
5.082197683525802e-21,9.495263275637303e-10,-1.6543612251060553e-24,1.4499442162288884e-20,3.8797355668151226e-22,8.229242902365025e-09,2.5325871532597304e-19,2.6430023233506056e-19
-4.235164736271502e-22,4.998634198709854e-10,6.203854594147708e-25,7.635342342959007e-21,2.056577797959965e-22,1.3913679381388286e-19,1.949470827073247e-09,1.3913729787706863e-19
0.0,8.635066352894924e-12,1.9466444990665787e-27,1.3189180701445966e-22,3.541031006440858e-24,2.4035655676890963e-21,2.3031558516013575e-21,2.403566096990533e-21
-1.6940658945086007e-21,4.757842008700906e-10,8.271806125530277e-25,1.28293815241121e-09,2.228254335914763e-09,1.1300193365029001e-09,1.0828127753324972e-09,1.1300193365029006e-09
1.6543612251060553e-24,8.634433770195045e-12,1.869072008623273e-27,1.3188216124114432e-22,3.5404794066143655e-24,2.4033887771773735e-21,2.3029882063338773e-21,2.403389377025118e-21
