Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,5.084992233110971e-16,2.8434333556510326e-25,9.702262193466648e-10,8.960599285893864e-17,2.924706070439131e-10,2.3846250508368464e-10,2.9247060704391364e-10
2.0328790734103208e-20,2.0809159328012327e-15,-1.6543612251060553e-23,1.8644669886825737e-15,3.6669190682130717e-16,1.5816422186346543e-15,1.2895735641554616e-15,1.1542861132016419e-07
4.235164736271502e-22,1.3446543055102662e-16,5.169878828456423e-25,7.884686281544463e-11,1.183008017780594e-09,2.3768100315128104e-11,1.937904393030143e-11,2.3768100315128485e-11
-2.117582368135751e-22,8.08597759737669e-16,3.360421238496675e-25,1.542819952279432e-09,1.4248833016324843e-16,4.65076575962334e-10,3.791947727009333e-10,4.650765759623345e-10
-5.293955920339377e-23,3.110130220311326e-16,1.2924697071141057e-26,2.7866262262216497e-16,5.480565039576973e-17,1.7888359151451093e-10,1.458506541291929e-10,1.7888359151451093e-10
2.371692252312041e-20,2.0809159858809583e-15,-9.926167350636332e-24,1.8644669579734935e-15,3.666918695981796e-16,4.2751338521835524e-08,1.2895735571244264e-15,1.5816421954735972e-15
-8.470329472543003e-22,9.32114511962164e-16,4.1359030627651384e-25,8.351594801350972e-16,1.6425402702814198e-16,7.084724568940257e-16,8.61741420484731e-09,7.084724528098214e-16
-6.617444900424222e-24,1.152480394509506e-11,0.0,1.0326037380386614e-11,2.0308615168100433e-12,8.759659959674549e-12,7.142086785328175e-12,8.759659959674546e-12
-8.470329472543003e-22,2.1049860451420397e-16,1.2407709188295415e-24,1.2343064326389083e-10,1.8519372287871946e-09,3.720771894151104e-11,3.03368805396242e-11,3.720771894151156e-11
-6.018531076210112e-36,1.6510800516512298e-23,-3.6734198463196485e-39,1.479340942595152e-23,2.9094767720524223e-24,1.2549367336371947e-23,1.0231980582572883e-23,1.2549367336371947e-23
