Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,7.426375856753126e-14,4.1359030627651384e-25,6.186952098337745e-10,2.041497457170942e-14,4.600196835855533e-10,4.329241844708958e-10,4.6001968358555364e-10
-7.115076756936123e-20,5.602104645668804e-14,-5.293955920339377e-23,5.277885677248537e-14,1.5400085654498424e-14,4.8490849273129995e-14,4.563470236687995e-14,3.189779187627107e-08
1.6940658945086007e-21,2.5197003930472945e-14,9.305781891221561e-25,4.443353665093918e-11,1.1218751391992475e-09,3.304103563069983e-11,3.109489422931404e-11,3.3041035630700175e-11
6.352747104407253e-22,1.1000317216123915e-13,3.360421238496675e-25,9.16442111139368e-10,3.0239675526199046e-14,6.814040310803045e-10,6.412688303929043e-10,6.814040310803054e-10
-9.529120656610879e-22,5.640513297886508e-14,-7.237830359838992e-25,5.314071441201579e-14,1.5505670299192082e-14,3.4939615131045894e-10,3.2881645994875865e-10,3.4939615131045894e-10
-1.6093625997831706e-20,5.6021046441980544e-14,-1.0598251598335667e-23,5.277885670910912e-14,1.540008560415673e-14,1.1814027522486946e-08,4.563470240192607e-14,4.8490849250098185e-14
2.117582368135751e-21,2.8964330784732676e-14,1.9645539548134407e-24,2.728803477332599e-14,7.962242791321279e-15,2.5071023959942154e-14,2.7486833971741412e-09,2.507102396053063e-14
-1.6543612251060553e-23,1.150794501610643e-11,-1.454028420503369e-26,1.0841928513666523e-11,3.163513528118957e-12,9.961078244224866e-12,9.374363378800528e-12,9.961078244224865e-12
2.8587361969832636e-21,3.679036761396101e-14,1.4475660719677984e-24,6.487779865774726e-11,1.6380597829041464e-09,4.824350746446164e-11,4.5401929244151665e-11,4.824350746446152e-11
-7.703719777548943e-33,2.6884453709065833e-21,-4.325819211026018e-36,2.532852953630874e-21,7.390488300533518e-22,2.3270718323248657e-21,2.1900055827221374e-21,2.3270718323248645e-21
