Intercept,input1,input2,input3,input4,input5,input6,input7
-8.131516293641283e-20,5.5824633926550824e-12,1.0422475718168149e-22,4.3849960040116975e-08,1.315737319842376e-12,3.226796863854535e-08,3.028456120169529e-08,3.226796863854538e-08
-2.168404344971009e-19,7.491399759329886e-12,1.2705494208814505e-21,6.945438472951607e-12,1.7656567613126441e-12,6.3657375476397464e-12,5.974456297249389e-12,3.3378447438276666e-06
2.0328790734103208e-20,1.5349956073508458e-12,-1.6543612251060553e-24,3.0033157695891136e-09,6.259324807862071e-08,2.210249811934298e-09,2.074392920433202e-09,2.210249811934273e-09
-6.352747104407253e-22,1.4135041581502593e-13,2.1713491079516976e-24,1.1103001755984774e-09,3.3315044664056256e-14,8.17039085390407e-10,7.668183412117751e-10,8.170390853904082e-10
-2.117582368135751e-22,6.570095391616966e-14,5.686866711302065e-25,6.09127730347081e-14,1.5485134596623906e-14,3.79767169326497e-10,3.5642411242845897e-10,3.797671693264976e-10
-4.336808689942018e-19,7.491399758737522e-12,1.1779051922755114e-21,6.945438473474385e-12,1.7656567631795908e-12,1.236242802067221e-06,5.974456296443715e-12,6.365737548696883e-12
-5.421010862427522e-20,3.862686672071658e-12,1.1911400820763599e-22,3.5811802190080466e-12,9.104011350537968e-13,3.2822770622796722e-12,2.868436406659204e-07,3.282277062436216e-12
-2.3161057151484775e-23,1.152203196100502e-11,2.867667162659422e-26,1.0682324622801633e-11,2.7156411757919105e-12,9.790724547927692e-12,9.188920446218188e-12,9.790724547927692e-12
-2.117582368135751e-22,4.226588862405386e-14,-5.686866711302065e-25,8.269587822461874e-11,1.723496301389958e-09,6.085891838097068e-11,5.7118117939900945e-11,6.085891838096957e-11
-3.944304526105059e-31,2.6250159240392865e-19,6.379642940782719e-34,2.4337089443523204e-19,6.186930703331213e-20,2.23057946143301e-19,2.0934729722750138e-19,2.2305794614330113e-19
