Intercept,input1,input2,input3,input4,input5,input6,input7
4.235164736271502e-22,1.8155377085881148e-10,5.169878828456423e-26,3.641717300472775e-09,5.576311893090511e-18,8.152064238280793e-10,4.2828569925467124e-10,8.152064238280776e-10
4.235164736271502e-22,1.725127980503261e-10,-2.714186384939622e-25,9.817029770210392e-17,5.298625879155264e-18,7.61454096418636e-16,4.0004579271051013e-16,6.737209690563928e-09
-2.117582368135751e-22,1.8079478309350653e-11,2.0679515313825692e-25,3.1975340303114494e-10,1.2673889753185458e-09,7.157751139580076e-11,3.7604738656383254e-11,7.157751139580085e-11
-2.541098841762901e-21,2.911543349255439e-10,1.4475660719677984e-24,5.840152884682117e-09,8.94262578209408e-18,1.3073310624942997e-09,6.868336434696745e-10,1.3073310624942964e-09
-2.6469779601696886e-23,1.1544068745270152e-11,1.454028420503369e-26,6.5692789424757085e-18,3.5456899855455196e-19,5.1834775745725514e-11,2.7232480666331138e-11,5.183477574572554e-11
-1.4823076576950256e-21,1.7251279805032692e-10,4.911384887033602e-25,9.81703000657079e-17,5.298624611727157e-18,2.4952633277910705e-09,4.0004579399005514e-16,7.614540981810396e-16
-1.852884572118782e-22,4.9792524805865305e-11,7.754818242684634e-26,2.833498251195489e-17,1.5293468519629605e-18,2.1977918438364635e-16,3.240945657674968e-10,2.197791842824702e-16
4.1359030627651384e-25,5.190443422760134e-12,6.152876245410788e-28,2.9536787685818616e-18,1.5942127961102351e-19,2.2910093955382495e-17,1.2036295744597118e-17,2.2910093953851418e-17
8.470329472543003e-22,2.8538766293895815e-11,0.0,5.047362254951841e-10,2.0005952136002195e-09,1.1298632818220837e-10,5.935972430700614e-11,1.1298632818220825e-10
-6.203854594147708e-25,9.185918109178673e-13,2.9052402840188683e-28,5.22734747047516e-19,2.821398294534565e-20,4.054571638804198e-18,2.1301537854771925e-18,4.054571638516203e-18
