Intercept,input1,input2,input3,input4,input5,input6,input7
1.3877787807814457e-17,2.0066146108859827e-08,-1.6940658945086007e-20,3.8040828166936973e-05,4.064837588542124e-10,1.005764172193695e-06,7.426290098618348e-07,1.0057641721937154e-06
-3.469446951953614e-18,1.738902706127587e-08,-3.3881317890172014e-21,1.240278226662502e-09,3.5225284639157427e-10,1.1804739458465872e-08,8.716299723213204e-09,1.8070302832725383e-05
1.1102230246251565e-16,1.2391451491483821e-08,-2.0328790734103208e-20,9.185479008827345e-06,0.00013517276752605102,2.479643249893351e-07,1.8309013806507373e-07,2.4796432498928765e-07
7.411538288475128e-22,8.296997030498133e-13,-8.271806125530277e-25,1.5729210613062457e-09,1.6807385543108283e-14,4.158657225358927e-11,3.070639801064922e-11,4.158657225358976e-11
7.940933880509066e-23,2.4388673924458355e-12,6.785465962349055e-26,1.739530402650457e-13,4.940460314056285e-14,1.2224198063469123e-10,9.026016590378898e-11,1.222419806346913e-10
-3.903127820947816e-18,1.738902706127116e-08,2.329340604949326e-21,1.240278226659008e-09,3.522528463903302e-10,6.700137366594362e-06,8.716299723217651e-09,1.1804739458465819e-08
0.0,7.0538769915315916e-09,2.117582368135751e-22,5.03120158207252e-10,1.428917350934719e-10,4.78860489224931e-09,1.2244438785828917e-06,4.788604892249045e-09
0.0,1.1469801503731095e-11,7.068193710780266e-27,8.180874651038282e-13,2.3234596237093413e-13,7.78640564044945e-12,5.749270923557961e-12,7.786405640449464e-12
6.352747104407253e-22,1.7473136656922824e-13,-1.0339757656912846e-25,1.2952407560225572e-10,1.9060658397438857e-09,3.496535123069105e-12,2.5817467833721116e-12,3.4965351230687174e-12
-6.462348535570529e-27,2.2226148640387034e-14,1.6171648557030742e-29,1.585287556573693e-15,4.502393431979004e-16,1.5088474642100887e-14,1.1140920797913253e-14,1.508847464210093e-14
