Intercept,input1,input2,input3,input4,input5,input6,input7
-8.131516293641283e-20,4.078836867214235e-16,-9.926167350636332e-24,7.59743326011744e-08,1.111292986883397e-16,1.6555004396434415e-08,1.3165722403569946e-08,1.6555004396434434e-08
-3.469446951953614e-18,1.7357221909781082e-15,-4.235164736271502e-21,1.6310398669693027e-15,4.729027296168122e-16,1.320016780275812e-15,1.0497730360366957e-15,1.3120115625506992e-05
-1.6263032587282567e-19,1.3994454949702557e-16,4.632211430296955e-23,5.307039674293213e-09,1.323056091884155e-07,1.1564177905573037e-09,9.196660567670128e-10,1.156417790557369e-09
-8.470329472543003e-22,4.984969322628842e-18,1.2924697071141057e-25,9.285237925962323e-10,1.3581719393861567e-18,2.0232774599440138e-10,1.6090548057335574e-10,2.0232774599440156e-10
0.0,2.539016178752877e-18,-2.908056841006738e-26,2.3858843108467515e-18,6.917634427547459e-19,1.0305247506619312e-10,8.19546915985434e-11,1.0305247506619317e-10
-4.336808689942018e-19,1.735721521409585e-15,2.117582368135751e-22,1.6310376964473754e-15,4.729044236827067e-16,4.8593020843522265e-06,1.0497732477949325e-15,1.3200161450011016e-15
-2.168404344971009e-19,7.583554365457114e-16,2.6469779601696886e-22,7.126172623847358e-16,2.0661677991096598e-16,5.767289048572513e-16,9.553855201352783e-07,5.767289048572513e-16
-1.6543612251060553e-23,1.1524817149915753e-11,8.683780844672898e-27,1.0829738070794812e-11,3.139974892013373e-12,8.764621163910831e-12,6.970253009498271e-12,8.764621163910833e-12
-5.293955920339377e-22,1.7387267100304104e-18,4.652890945610781e-25,6.593677691276667e-11,1.6438176408632377e-09,1.4367795711662473e-11,1.1426297774448748e-11,1.4367795711662731e-11
-2.407412430484045e-35,8.057085398085416e-23,3.2326094647612906e-38,7.571150443452233e-23,2.19517980404407e-23,6.127411852257679e-23,4.87295572790931e-23,6.127411852257684e-23
