Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,9.841351286693048e-11,2.895132143935597e-24,4.401646275863623e-09,2.9163642551020835e-12,3.296877633711167e-09,3.102935112152006e-09,3.2968776337111664e-09
-1.6940658945086007e-20,5.844850243145145e-11,9.926167350636332e-24,3.1218246897078103e-11,1.7320499826686897e-12,3.1250182890031176e-11,2.941185585996126e-11,3.188605849276123e-08
-6.352747104407253e-22,1.1759438885747776e-11,4.1359030627651384e-25,4.1865193573772205e-10,1.5115287660335198e-09,3.139013673789267e-10,2.9543576765880366e-10,3.1390136737892657e-10
-1.0164395367051604e-20,1.4293808886291692e-10,4.1359030627651384e-25,6.393054045060208e-09,4.235795684037717e-12,4.788462218747975e-09,4.506775562379908e-09,4.788462218747974e-09
-4.235164736271502e-22,1.893138732925639e-11,3.101927297073854e-25,1.0111546047602065e-11,5.61008541390061e-13,6.342062755685034e-10,5.968983806637281e-10,6.342062755685031e-10
5.082197683525802e-21,5.844850243145277e-11,1.6543612251060553e-24,3.1218246897078103e-11,1.7320499826661048e-12,1.1829327334694168e-08,2.941185585994596e-11,3.125018289001877e-11
4.235164736271502e-22,3.0221784390053285e-11,5.169878828456423e-25,1.6141921306976935e-11,8.955856686034286e-13,1.615843435098156e-11,2.7603855840462218e-09,1.6158434350981923e-11
-3.308722450212111e-24,1.116628950115976e-11,-4.0389678347315804e-28,5.9640874970288566e-12,3.308993512643012e-13,5.970188706260958e-12,5.6189856649236566e-12,5.970188706260955e-12
4.235164736271502e-22,1.684217485504676e-11,6.72084247699335e-25,5.996042135687723e-10,2.1648508932534764e-09,4.495777194813156e-10,4.2313080629853184e-10,4.4957771948131587e-10
0.0,2.9736052888025028e-18,-3.851859888774472e-34,1.588248461783469e-18,8.811916087959624e-20,1.589873226038307e-18,1.4963471517720386e-18,1.589873226038306e-18
