Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,3.485139005803828e-09,-9.512577044359818e-24,2.295075456929393e-08,3.9055428579527147e-13,1.2814326774337244e-08,1.0742498345549517e-08,1.3744385955630794e-08
1.3552527156068805e-20,4.099961771086232e-09,-1.3234889800848443e-23,9.123472312453977e-11,4.594530199562284e-13,8.71715042288237e-10,4.700443233774835e-10,1.4301903369622962e-07
-2.541098841762901e-21,3.159977329949549e-10,-1.7060600133906196e-24,2.018045822300777e-09,3.574348159949875e-09,1.1286745461542816e-09,9.45580254809924e-10,1.2098135420719464e-09
6.776263578034403e-21,1.984424945449473e-09,-8.995589161514176e-24,1.3068072696196774e-08,2.2238013060419407e-13,7.296429114531351e-09,6.116737856899724e-09,7.826001288562199e-09
2.117582368135751e-22,1.3680997349857722e-10,0.0,3.0443747404768604e-12,1.533130282614015e-14,5.030294927920216e-10,4.2169936737549735e-10,5.395391906069391e-10
2.0328790734103208e-20,3.8962486667621935e-09,-3.308722450212111e-24,8.670158118135508e-11,4.3662436787354934e-13,5.095484459308524e-08,4.466894255439809e-10,5.715124796383125e-10
-7.623296525288703e-21,1.7605023530193956e-09,4.549493369041652e-24,3.917571765437327e-11,1.9728674752209243e-13,3.7430992501773754e-10,1.0394067451627537e-08,2.5823533127296924e-10
-4.963083675318166e-24,8.288107737275737e-12,8.077935669463161e-28,1.8443177201534764e-13,9.287882040056205e-16,1.7621794031447183e-12,9.501986142704007e-13,1.2157224575648621e-12
-8.470329472543003e-22,1.969720438243552e-10,-6.979336418416171e-25,1.2579160185181853e-09,2.2280117510095944e-09,7.035409085421676e-10,5.894120619936203e-10,7.541175810653659e-10
-5.048709793414476e-29,9.925662122000734e-17,1.5407439555097887e-32,2.2087158029486745e-18,1.112297063224522e-20,2.110348695794408e-17,1.1379377166664757e-17,1.4559234424097284e-17
