Intercept,input1,input2,input3,input4,input5,input6,input7
1.0164395367051604e-20,2.5401818847683673e-09,-9.926167350636332e-24,8.38467704160567e-09,9.97869788557043e-16,7.3219977289600865e-09,6.951563479873617e-09,7.3219977289601e-09
6.945670167485263e-20,9.56680163450307e-10,-6.28657265540301e-23,1.409423514954086e-14,3.758163914017724e-16,2.4536338195242276e-13,2.3294996645929204e-13,2.715858981846193e-08
4.658681209898652e-21,2.515911929746195e-10,-4.756288522179909e-24,8.198461554666297e-10,1.4239763830569281e-09,7.159391142361487e-10,6.797183479929784e-10,7.15939114236154e-10
1.0164395367051604e-20,4.037634715984438e-09,-1.819797347616661e-23,1.3327495683873758e-08,1.586120157985578e-15,1.1638360385954914e-08,1.1049552870607423e-08,1.163836038595494e-08
8.470329472543003e-22,2.724382865139099e-10,-4.1359030627651384e-25,4.01368129007949e-15,1.0702301934145434e-16,7.852951503583085e-10,7.455655259985995e-10,7.852951503583095e-10
2.541098841762901e-21,9.56680163450363e-10,4.1359030627651384e-25,1.4094235144370981e-14,3.7581649102533744e-16,1.0058891457855986e-08,2.329499664397499e-13,2.4536338194787327e-13
-4.0234064994579266e-21,4.989953762013328e-10,3.9291079096268815e-24,7.351420502600005e-15,1.96022351308777e-16,1.279792325161342e-13,2.361044347574156e-09,1.2797923251326493e-13
-1.1994118882018901e-23,7.18734656920246e-12,1.0477650543145479e-26,1.0588716740421912e-16,2.8234340631426135e-18,1.8433659741675172e-15,1.7501064682615423e-15,1.843365974155011e-15
9.317362419797304e-21,3.9369253201533453e-10,-8.737095220091355e-24,1.2829038448943486e-09,2.2282531480832623e-09,1.1203090192464678e-09,1.063630385128908e-09,1.1203090192464792e-09
-1.7448341046040428e-25,1.0402780307469866e-13,1.3371808641078354e-28,1.5325835887850933e-18,4.086565743337241e-20,2.668040433405042e-17,2.5330590265438252e-17,2.6680404333886484e-17
