Intercept,input1,input2,input3,input4,input5,input6,input7
2.117582368135751e-22,2.4274108582194927e-12,2.5849394142282115e-25,1.1803746115182993e-09,5.890101626053345e-13,6.542573341326631e-10,5.774409997728406e-10,6.542573341326632e-10
3.3881317890172014e-20,2.608059468110699e-12,-1.6543612251060553e-23,2.4283026423932915e-12,6.328444672445906e-13,2.1377236718639745e-12,1.88673359845822e-12,6.780072028570993e-08
1.0587911840678754e-21,7.587868179094316e-13,0.0,8.784275482196999e-11,1.8897988221291484e-09,4.886528060788854e-11,4.312800944876879e-11,4.8865280607888916e-11
2.117582368135751e-22,2.19938086202726e-12,2.5849394142282115e-25,1.0694906969726737e-09,5.336787856851753e-13,5.927966642564292e-10,5.231964253393127e-10,5.927966642564296e-10
2.117582368135751e-22,1.0438784080234753e-12,-7.754818242684634e-26,9.719305589185022e-13,2.532966303451876e-13,2.813553799841832e-10,2.4832145309446564e-10,2.813553799841833e-10
5.082197683525802e-21,2.608059468117492e-12,3.308722450212111e-24,2.4283026424019834e-12,6.328444672559643e-13,2.511272385776005e-08,1.8867335984391433e-12,2.137723671881552e-12
8.470329472543003e-22,1.2646005196049848e-12,1.0339757656912846e-25,1.1774397098178322e-12,3.068547523220886e-13,1.0365432611034427e-12,5.479964418640958e-09,1.036543261102483e-12
2.3161057151484775e-23,1.1468571768669104e-11,-4.0389678347315804e-27,1.0678116611515235e-11,2.782843826970692e-12,9.400336783823284e-12,8.296643518483916e-12,9.400336783823283e-12
6.352747104407253e-22,6.853624549953732e-13,0.0,7.93426093830389e-11,1.7069315512770987e-09,4.413680877292535e-11,3.895470735289116e-11,4.413680877292564e-11
3.944304526105059e-31,1.6951989141246324e-19,-7.222237291452134e-35,1.578359716437251e-19,4.1133926079154696e-20,1.3894878132843851e-19,1.226348089989347e-19,1.3894878132843858e-19
