Intercept,input1,input2,input3,input4,input5,input6,input7
2.117582368135751e-22,1.8536305706843938e-14,3.618915179919496e-25,6.055616659709483e-10,4.8640145144896684e-15,4.56015908773087e-10,4.305803394077913e-10,4.560159087730879e-10
-1.1858461261560205e-20,1.4228533018690802e-14,0.0,1.3346417299940967e-14,3.733634537178496e-15,1.228357266431263e-14,1.1598421901080493e-14,3.010662665501481e-08
4.235164736271502e-22,6.077985604673054e-15,-2.5849394142282115e-26,4.4278055372724246e-11,1.0529286523537619e-09,3.3344162364570216e-11,3.1484297964151e-11,3.334416236457026e-11
6.352747104407253e-22,2.9794120912611404e-14,7.237830359838992e-25,9.733426811923188e-10,7.818118607814787e-15,7.329720031070182e-10,6.920884289395969e-10,7.329720031070184e-10
0.0,1.4827994735711092e-14,1.0339757656912846e-25,1.3908714614490894e-14,3.890936131617925e-15,3.647868999218637e-10,3.444398850085512e-10,3.64786899921864e-10
2.541098841762901e-21,1.422853302414855e-14,2.68833699079734e-24,1.3346417282428003e-14,3.733634532629003e-15,1.115061019892161e-08,1.1598421883037616e-14,1.2283572680029061e-14
-2.117582368135751e-22,7.380931541260589e-15,4.1359030627651384e-25,6.923341436449181e-15,1.9367914357791266e-15,6.371999762878303e-15,2.6029314110799096e-09,6.371999762529336e-15
-1.6543612251060553e-23,1.15241644665829e-11,2.4233807008389483e-26,1.0809709444451387e-11,3.0239954025908042e-12,9.94887607826995e-12,9.39394954450841e-12,9.948876078269955e-12
6.352747104407253e-22,9.615686762895506e-15,2.3264454728053903e-25,7.005016770741598e-11,1.6657874439255567e-09,5.2752184937648974e-11,4.9809783514062046e-11,5.2752184937649775e-11
-3.851859888774472e-34,6.0845269956389945e-22,1.316553672920962e-36,5.707309117333403e-22,1.5966087359396818e-22,5.2528064182035905e-22,4.959816372369093e-22,5.252806418203603e-22
