Intercept,input1,input2,input3,input4,input5,input6,input7
-1.0587911840678754e-22,1.8536305706269537e-14,4.1359030627651384e-25,6.055616659709483e-10,4.864014514321647e-15,4.560159087730875e-10,4.3058033940779135e-10,4.5601590877308826e-10
5.082197683525802e-21,1.422853301827244e-14,-4.963083675318166e-24,1.334641728236338e-14,3.7336345404872185e-15,1.2283572694297927e-14,1.1598421881228158e-14,3.010662665501478e-08
-1.0587911840678754e-22,6.077985604715063e-15,-1.0339757656912846e-25,4.427805537272454e-11,1.0529286523537627e-09,3.3344162364569654e-11,3.148429796415138e-11,3.33441623645702e-11
-1.0587911840678754e-22,2.979412091162268e-14,1.0339757656912846e-24,9.733426811923192e-10,7.818118607672615e-15,7.329720031070188e-10,6.92088428939597e-10,7.32972003107019e-10
-1.5881867761018131e-22,1.4827994735639505e-14,3.618915179919496e-25,1.3908714614545824e-14,3.890936131424055e-15,3.6478689992186435e-10,3.44439885008551e-10,3.647868999218643e-10
-2.117582368135751e-21,1.4228533022413247e-14,2.274746684520826e-24,1.3346417283471672e-14,3.733634530095762e-15,1.1150610198921618e-08,1.1598421882158736e-14,1.2283572687447837e-14
-2.117582368135751e-22,7.380931540902017e-15,1.2407709188295415e-24,6.9233414379096716e-15,1.9367914367743282e-15,6.371999762115746e-15,2.6029314110799084e-09,6.3719997626327336e-15
-1.6543612251060553e-24,1.1524164466582893e-11,6.462348535570529e-27,1.0809709444451367e-11,3.023995402590803e-12,9.948876078269957e-12,9.393949544508409e-12,9.948876078269968e-12
5.293955920339377e-23,9.615686762590857e-15,-3.101927297073854e-25,7.005016770741655e-11,1.6657874439255577e-09,5.275218493764926e-11,4.980978351406198e-11,5.2752184937649594e-11
-1.925929944387236e-34,6.084526995638988e-22,5.64237288394698e-37,5.70730911733339e-22,1.5966087359396835e-22,5.252806418203601e-22,4.959816372369096e-22,5.25280641820361e-22
