Intercept,input1,input2,input3,input4,input5,input6,input7
1.5881867761018131e-22,1.1970337772054826e-16,-5.169878828456423e-26,3.311154885374146e-10,4.71441667285357e-17,3.4790446456447997e-11,2.6778666749216622e-11,3.4790446456447816e-11
0.0,1.1843380809448248e-15,0.0,1.1464636005886727e-15,4.66441582147491e-16,8.793538848718421e-16,6.768502638655185e-16,1.5248063897721215e-07
-5.293955920339377e-23,5.607307464610452e-17,-5.169878828456423e-26,2.0043566871126334e-11,8.417400626384076e-10,2.106017458639313e-12,1.6210294904818457e-12,2.1060174586387444e-12
5.293955920339377e-23,1.9926997913244325e-16,-9.04728794979874e-26,5.512073071478849e-10,7.848080228512839e-17,5.791558827537172e-11,4.4578394242582877e-11,5.7915588275371145e-11
0.0,1.2679475088298603e-16,-9.693522803355793e-27,1.2273992634143441e-16,4.993704437711377e-17,3.6851474674336136e-11,2.8365067426099278e-11,3.685147467433611e-11
3.3881317890172014e-21,1.1843380921336287e-15,3.308722450212111e-24,1.1464636444292452e-15,4.664415589864339e-16,5.647431128596804e-08,6.768502721373246e-16,8.793538335866441e-16
4.235164736271502e-21,5.008197995253972e-16,-1.6543612251060553e-24,4.84803871226631e-16,1.9724365745287163e-16,3.718514285213138e-16,1.074655485288178e-08,3.71851435552349e-16
-1.6543612251060553e-23,1.1510354307421726e-11,5.6545549686242126e-27,1.1142259674019839e-11,4.533256068777847e-12,8.546271033456215e-12,6.578177840859279e-12,8.546271033456208e-12
8.470329472543003e-22,9.182053509787197e-17,-5.169878828456423e-25,3.2821653694932786e-11,1.3783624947946336e-09,3.4486364701143358e-12,2.6544611000605185e-12,3.4486364701136637e-12
1.504632769052528e-36,4.076520259208049e-24,1.5382445606463528e-39,3.9461554424273e-24,1.6055031592411639e-24,3.0267571334536057e-24,2.329734995181305e-24,3.026757133453604e-24
