Intercept,input1,input2,input3,input4,input5,input6,input7
2.710505431213761e-20,1.972793578775171e-10,4.632211430296955e-23,5.309896880181423e-08,3.4659259600183465e-11,3.994096354001407e-08,3.768907500956966e-08,3.994096354001407e-08
4.119968255444917e-18,2.7024942235252014e-10,-3.017554874593445e-21,2.419246483712679e-10,4.747909252138651e-11,2.2239292504648775e-10,2.0985431723983506e-10,3.045353964997616e-06
2.0328790734103208e-20,4.399963189888598e-11,6.617444900424222e-24,3.902468512316732e-09,5.813720598115155e-08,2.939857628434356e-09,2.7741072036110896e-09,2.939857628434352e-09
4.235164736271502e-22,5.734541594595095e-12,1.4475660719677984e-24,1.5434876132004105e-09,1.0074797888300155e-12,1.1610090341565078e-09,1.0955508504764859e-09,1.1610090341565076e-09
1.0587911840678754e-21,2.2098956889280026e-12,-4.224760355129233e-25,1.9782770776209014e-12,3.8824816339468947e-13,4.47413069914221e-10,4.221877305329768e-10,4.4741306991422167e-10
2.168404344971009e-19,2.702494223513346e-10,1.5881867761018131e-22,2.4192464836973265e-10,4.747909252548933e-11,1.1280489011000724e-06,2.0985431724219087e-10,2.2239292504678885e-10
2.710505431213761e-20,1.4010013853379899e-10,9.926167350636332e-23,1.2541627825303605e-10,2.4613660160448378e-11,1.15290827772722e-10,2.6321348818026363e-07,1.1529082777281589e-10
-1.3234889800848443e-23,1.143739601265714e-11,1.7771458472818954e-26,1.023864541339072e-11,2.0093925782046076e-12,9.412031049105714e-12,8.881376731103775e-12,9.41203104910572e-12
6.352747104407253e-22,1.4009854741701945e-12,2.0679515313825692e-25,1.2425789633252812e-10,1.8511377839613017e-09,9.360755205927962e-11,8.832991841796789e-11,9.360755205927948e-11
1.8932661725304283e-29,1.8334291044450564e-17,2.619264724366641e-32,1.6412678611660985e-17,3.221081818850417e-18,1.5087605289066124e-17,1.4236959678869948e-17,1.5087605289066134e-17
