Intercept,input1,input2,input3,input4,input5,input6,input7
1.6940658945086007e-21,2.1906408482698457e-12,2.7917345673664684e-24,7.0459792425003784e-09,5.577944859134235e-13,4.13760763367287e-09,3.6924171722385947e-09,4.137607633672871e-09
4.336808689942018e-19,3.3104027056448562e-12,2.3822801641527197e-22,3.09610147291018e-12,8.429151575212736e-13,2.744694693743562e-12,2.4493762380705196e-12,6.144855581904741e-07
-5.082197683525802e-21,6.533994691427109e-13,2.481541837659083e-24,4.75740281840113e-10,1.0900987761334622e-08,2.7951030555775725e-10,2.4943608564038405e-10,2.79510305557759e-10
6.352747104407253e-22,3.1378167164464e-13,9.04728794979874e-26,1.009247657749694e-09,7.989702481962534e-14,5.926601071691103e-10,5.288921886170811e-10,5.926601071691103e-10
1.0587911840678754e-22,1.5333165770286574e-13,9.04728794979874e-26,1.4340562569028908e-13,3.9042252522049746e-14,2.8960759948247714e-10,2.584469500774419e-10,2.896075994824768e-10
6.776263578034403e-20,3.310402705631402e-12,8.06501097239202e-23,3.096101472995226e-12,8.429151572340319e-13,2.275889719153534e-07,2.4493762383540406e-12,2.7446946941170244e-12
-2.0328790734103208e-20,1.623002299199428e-12,-2.481541837659083e-24,1.517936111185129e-12,4.132588570252457e-13,1.3456507245508624e-12,5.0211961095338426e-08,1.3456507245378997e-12
0.0,1.1503845328660814e-11,-2.5243548967072378e-27,1.0759135862195559e-11,2.929180059904114e-12,9.537976507737693e-12,8.51172739506876e-12,9.537976507737698e-12
-1.7999450129153882e-21,1.0081382203080776e-13,5.169878828456423e-25,7.340256362497971e-11,1.6819270477403215e-09,4.3125994940315053e-11,3.84858059018373e-11,4.3125994940315473e-11
0.0,2.567128471468769e-19,7.52316384526264e-35,2.4009436159081424e-19,6.536580869271666e-20,2.128437088093574e-19,1.899425549717938e-19,2.1284370880935744e-19
